智能--它是什么？	Intelligence -- what is it?
我们还可以造出更复杂的结构， 只要使用稍微不同的排列就可以了。 有点儿像画螺旋图。	We can create much more complicated structures with slightly different arrangements, kind of like making Spirograph.
这有什么用呢？	So why does that matter?
这些年来MRI领域很多人 不是在试图做出 非常非常大的磁铁吗？	A lot of effort in MRI over the years has gone into making really big, really huge magnets, right?
但是最近分辨率领域的进步， 实际上是源于 MRI系统中 调频电波频率发射和接收器 极为精巧的编码解码方法。	But yet most of the recent advances in resolution have actually come from ingeniously clever encoding and decoding solutions in the F.M. radio frequency transmitters and receivers in the MRI systems.
另外，我们可以不再使用总是一样的磁场， 而是用有一定结构的磁场模式， 再加上调频电波频率。	Let's also, instead of a uniform magnetic field, put down structured magnetic patterns in addition to the F.M. radio frequencies.
这样就将磁场模式 与调频电波频率模式相结合， 可以极大地增加 我们在一次扫描中所提取的信息。 除此之外，	So by combining the magnetics patterns with the patterns in the F.M. radio frequencies processing which can massively increase the information that we can extract in a single scan.
运用fMRI，我们不仅可以 测量携氧的血液流动， 还可以测量我刚才说的激素和神经递质， 甚至有可能直接测量神经活动， 那就是梦。	And using fMRI, we should be able to measure not just oxygenated blood flow, but the hormones and neurotransmitters I've talked about and maybe even the direct neural activity, which is the dream.
那样我们就可以把我们的想法 直接下载到数字媒体上。	We're going to be able to dump our ideas directly to digital media.
想像一下，如果我们可以不借助语言 而直接交流思想？	Could you imagine if we could leapfrog language and communicate directly with human thought?
那时候我们能有什么样的成就呢？	What would we be capable of then?
我们要怎样学会面对 未加修饰的，完全真实的人类思想呢？	And how will we learn to deal with the truths of unfiltered human thought?
你觉得互联网很大，	You think the Internet was big.
那这些问题就是巨大了。	These are huge questions.
把它作为一种工具来放大我们的思考和沟通能力， 这个想法可能让人难以抗拒。	It might be irresistible as a tool to amplify our thinking and communication skills.
确实，这个方法有可能会带来治疗 阿尔兹海默式症或其它疾病的方法。 除了开启这扇门之外，我们别无选择。	And indeed, this very same tool may prove to lead to the cure for Alzheimer's and similar diseases.
不管怎样，预测一下，	We have little option but to open this door.
很难想像要花更久的时间。	It's hard to imagine it taking much longer.
我们要一起学习如何一起迈出这一步。	We need to learn how to take this step together.
谢谢大家。	Thank you.
在许多族长制社会和部落制社会中， 父亲通常是因为他的儿子而出名， 但我属于少数的父亲， 我因自己的女儿而出名的， 我对此感到特别骄傲。	In many patriarchal societies and tribal societies, fathers are usually known by their sons, but I'm one of the few fathers who is known by his daughter, and I am proud of it.
在这之前，她是我的女儿， 但现在我是她的父亲。	Before that, she was my daughter, but now I am her father.
女士们先生们， 如果我们回顾一下人类历史， 会发现女性的历史 其实是关于不公正， 不平等， 暴力和被剥削的故事。	Ladies and gentlemen, if we glance to human history, the story of women is the story of injustice, inequality, violence and exploitation.
她不受欢迎， 无论是父亲还是母亲，	She is not welcomed, neither by father nor by mother.
邻居会过来 对母亲表示同情， 没有人会去恭喜父亲。	The neighborhood comes and commiserates with the mother, and nobody congratulates the father.
母亲也会因为拥有了一名女儿 而感到不适。	And a mother is very uncomfortable for having a girl child.
当她产下第一名女婴时， 她是难过的。	When she gives birth to the first girl child, first daughter, she is sad.
当她产下第二名女婴时， 她是震惊的， 由于一心想要儿子， 当她产下第三名女婴的时候， 她感觉羞愧极了，像罪犯一样。	When she gives birth to the second daughter, she is shocked, and in the expectation of a son, when she gives birth to a third daughter, she feels guilty like a criminal.
受苦的不仅仅只有母亲， 也有女儿，刚刚来到世界的女婴， 当她长大， 她也会受许多苦。	Not only the mother suffers, but the daughter, the newly born daughter, when she grows old, she suffers too.
五岁， 本来是应该去上学的年龄， 她只能呆在家 眼睁睁地望着自己的哥哥或者弟弟去上学，	At the age of five, while she should be going to school, she stays at home and her brothers are admitted in a school.
