Bosnians protest Croatian plans for nuclear waste facility	クロアチアが核処理施設計画　ボスニア人が抗議
'Hideous' Central Coast camouflage child rapist ordered to look at victim in court	セントラル・コーストの「極悪非道」迷彩服の少女レイプ犯、法廷で被害者と対峙命令
Dressed in a leafy Ghillie camouflage suit, the man grabbed the then 12-year-old from behind and dragged her into bushland as she made her way to school on the state's Central Coast in May 2017.	2017年5月、葉がついた迷彩色のギリースーツを着用した男が、州内セントラル・コーストにある学校へ登校中の当時12歳の少女を背後からつかんで茂みに引き込んだ。
He then tied her to a tree and sexually assaulted her.	その後、男は少女を木にくくりつけて性的暴行を加えた。
Shortly after the arrest, a search warrant was executed at a home where officers seized a number of items relevant to the investigation.	逮捕直後に家宅捜索令状が執行され、警察官が捜査に関連する多数の品を押収した。
The man pleaded guilty to seven charges involving the attack and a further three charges over the grooming and sexual abuse of another girl, aged 11, between August 2016 and April 2017.	男は、2016年8月から2017年4月にかけて、今回の暴行および別の11歳の少女に対するグルーミング、性的虐待など3件の容疑を含む7件の嫌疑について有罪を認めた。
The 12-year-old victim had been walking along a track when she looked back and saw him suddenly emerge from the bushes armed with a large tree branch and a knife.	12歳の被害者は小道を歩いていた途中でふりかえると、大きな木の枝とナイフで武装した男が突然茂みから出てくるのを目撃した。
When she pleaded "stop, stop, stop," he put her in a headlock and forced her into the scrub.	少女が「やめて、やめて、やめて。」と頼むと、男は少女にヘッドロックをかけ、無理やり雑木林に連れ込んだ。
The man told the girl: "Shhh, don't scream.	男は少女に「しーっ、大声を出すな。
Don't scream or I'll have to hurt you."	大声を出したら、痛い目にあわせないといけなくなる」と言った。
Holding the knife in his right hand, he tied her hands and feet with cable ties before lashing her to the tree and abusing her for almost an hour.	男は右手に刃物を持って少女の両手足をケーブルタイで縛った後に木に打ち付け、1時間近くにわたって虐待した。
After he cut her loose, the girl ran crying hysterically to school.	男がケーブルをほどくと少女は狂ったように泣き叫んで学校に駆け込んだ。
The man arrived at work about 9.30am after failing to reply to several text messages and phone calls from colleagues.	男は、職場同僚から携帯メールや電話が数回あったが応答せず、午前9時半頃に職場に到着した。
With dirt, grass and tree matter on his clothes, he claimed to have been involved in a road rage incident where he had chased another driver into the bush and fallen down an embankment.	男は泥、草、木などを衣服につけた出で立ちで、路上暴力行為に遭い、運転手を茂みまで追いかけていたところ、土手でころんだと主張した。
The man's sentencing hearing continues on Tuesday.	男の判決公判は引き続き火曜日に行われる。
Pope warns tech execs to use AI for the common good	ローマ教皇、AI開発は公共利益に基づくべしとIT企業代表に警告
Pope Francis on Friday warned tech company executives, diplomats and financiers that the race to create artificial intelligence and other forms of digital development pose the risk of increasing social inequality unless the work is accompanied by an ethical evaluation of the common good.	ローマ教皇フランシスコは金曜、公共利益の倫理的評価を伴わなければ、人工知能開発競争やその他のデジタル開発には社会的不公平を増強する恐れがあると、IT企業代表者、外交官、投資家などに警告した。
