India and Japan prime ministers meet in Tokyo	Die Premierminister Indiens und Japans trafen sich in Tokio.
according to the announcement made in Düsseldorf by the district chairperson for the union of German train drivers (GDL), Sven Schmitte.	sagte der Bezirksvorsitzende der Gewerkschaft Deutscher Lokomotivführer (GDL), Sven Schmitte, in Düsseldorf.
We are expecting there to be a significant amount of cancellations.	Wir rechnen mit erheblichen Ausfällen.
We are not targeting any regions.	Regionale Schwerpunkte gebe es nicht.
The brunt of the strike will affect the transport of goods.	Die Hauptstoßrichtung des Warnstreiks sei der Güterverkehr.
Deutsch Bahn in NW has announced that they will do everything they can to ensure disruptions are kept to a minimum.	Die Deutsche Bahn in NRW kündigte an, alles zu tun, um die Auswirkungen möglichst gering zu halten.
The GDL have not said, however, where they will strike, making it difficult to predict exactly what the consequences will be.	Die GDL habe jedoch nicht gesagt, wo sie streiken wolle, so dass es schwer sei, die Folgen konkret vorherzusehen.
Magaluf police chief charged over corruption	Polizeichef von Magaluf der Korruption angeklagt
The claimants presented proof of extortion by policemen and Calvià Town Hall civil servants at Mallorca's public prosecutor's office on Friday.	Die Ankläger legten am Freitag dem Büro des Staatsanwaltes von Mallorca Beweise für Erpressungen durch Polizisten und Angestellte der Stadt Calvià vor.
The head of Calvià police on the holiday island of Majorca has been arrested following corruption claims filed by businessmen and bar owners in the notorious binge drinking hotspot of Magaluf.	Der Chef der Polizei von Calvià auf der Ferieninsel Mallorca wurde nach Korruptionsvorwürfen von Geschäftsleuten und Barbesitzern im berüchtigten Binge-Drinking-Hotspot Magaluf verhaftet.
Chief Inspector José Antonio Navarro has been remanded in custody following corruption claims made against him by several businessmen from Punta Ballena, the street where most of Magaluf's bars and nightclubs are located.	Hauptkommissar José Antonio Navarro wurde nach Korruptionsvorwürfen gegen ihn von mehreren Geschäftsleuten aus Punta Ballena, der Straße, in der die meisten Bars und Nachtclubs von Magaluf liegen, in Untersuchungshaft genommen.
According to online daily Mallorca Diario, the claimants presented proof of extortion by policemen and Calvià Town Hall civil servants at the office of Majorca's anti-corruption prosecutor on Friday.	Nach Angaben der Online-Tageszeitung Mallorca Diario legten die Ankläger dem Büro des Staatsanwalts für Korruptionsbekämpfung Mallorcas am Freitag Beweise für Erpressungen durch Polizisten und Angestellte der Stadt Calvià vor.
Two other local police officers were arrested by Spanish Civil Guards in connection to the corruption claims and will have to be questioned by a judge alongside Navarro.	Zwei weitere Ortspolizisten wurden von der spanischen Guardia Civil in Verbindung mit den Korruptionsvorwürfen festgenommen und werden gemeinsam mit Navarro von einem Richter befragt.
Spanish national daily ABC reported the disgruntled nightclub owners as saying favouritism by authorities was having a serious effect on their businesses.	Die nationale spanische Tageszeitung ABC berichtete, dass die verärgerten Nachtklubbesitzer aussagten, die Vetternwirtschaft der Behörden habe schwerwiegende Auswirkungen auf ihre Geschäfte.
"It's not about making money anymore, it's about surviving," one of the businessmen told the court.	"Es geht nicht mehr ums Geldverdienen, es geht ums Überleben," sagte einer der Geschäftsleute dem Gericht.
You don't mess with our livelihoods.	Lasst unsere Lebensgrundlage aus dem Spiel.
We have nothing to lose.	Wir haben nichts zu verlieren.
Magaluf made international headlines this summer as a result of a viral YouTube video which showed an 18-year-old British holidaymaker performing fellatio on 24 men during a pub crawl.	Magaluf machte in diesem Sommer aufgrund eines viralen YouTube-Videos internationale Schlagzeilen, in dem ein 18jähriger britischer Tourist gezeigt wurde, der an 24 Männern während einer Sauftour Fellatio vollzog.
Island authorities have since attempted to clamp down on the drunk and disorderly behaviour of Magaluf holiday revellers by minimizing numbers on the notorious alcohol-fuelled bar crawls.	Die Inselbehörden haben seither versucht, das ordnungswidrige Verhalten alkoholisierter Urlauber in Magaluf zu stoppen, indem die Anzahl der Teilnehmer an den berüchtigten alkoholgetränkten Kneipentouren minimiert wurde.
In addition, the Playhouse club where the fellatio incident took place was forced to shut down for a year, while Playhouse and the bar crawl organizers Carnage were jointly fined €55,000 ($73,000).	Der Playhouse Club, in dem der Fellatiovorfall stattfand, wurde für ein Jahr zur Schließung gezwungen, während Playhouse und der Kneipentour-Organisator Carnage gemeinsam eine Strafe von 55.000 € (73,000 $) zahlen müssen.
The tourist resort of Magaluf, mainly popular with young British holidaymakers, has also seen numerous alcohol-fuelled accidents involving the craze known as "balconing," where people jump from one balcony to another or from a balcony into the hotel pool.	Der Touristenort Magaluf, der vor allem bei jungen britischen Urlaubern beliebt ist, ist auch für etliche Unfälle unter Alkoholeinfluss bekannt, darunter auch den Trend des "Balconing", bei dem Menschen von einem Balkon zum anderen oder von einem Balkon in den Hotelpool springen.
First day of spring marked with wet and blustery conditions impacting Adelaide Airport flights	Der erste Frühlingstag mit nassen und stürmischen Wetterbedingungen beeinträchtigt Flüge vom Flughafen Adelaide
SPRING has sprung a wintry surprise on southern South Australia, bringing heavy showers and strong winds that have affected flights at Adelaide Airport.	Der FRÜHLING hat Südaustralien eine winterliche Überraschung beschert, mit heftigen Schauern und starkem Wind, die Flüge vom Flughafen Adelaide aus beeinträchtigten.
A further 5mm of rain fell on the city in the evening up to 9pm, following the 6.6mm that fell overnight on Sunday.	Am Abend bis 21 Uhr fielen weitere 5mm Regen auf die Stadt, nach 6,6mm, die bereits in der Nacht zum Sonntag niedergegangen waren.
The latest rain came courtesy of a couple of short, blustery showers, including a burst that started just before 8pm that dumped almost 4mm in about 10 minutes.	Der letzte Niederschlag war das Ergebnis einer Reihe kurzer, stürmischer Schauer, einschließlich eines Gusses, der kurz vor 20 Uhr begann und für fast 4mm Niederschlag in etwa 10 Minuten sorgte.
After winter delivered an early dose of spring last week, temperatures dropped again on Monday to a high of just 15.8C in the city.	Nachdem der Winter letzte Woche für eine frühe Dosis Frühling gesorgt hatte, fielen die Temperaturen in der Stadt am Montag wieder auf einen Höchstwert von nur 15,8°C.
The squally conditions are believed to have contributed to the delayed landing of a Virgin Airlines flight from Melbourne to Adelaide.	Die böigen Wetterbedingungen haben wahrscheinlich zu der verspäteten Landung eines Fluges von Virgin Airlines von Melbourne nach Adelaide geführt.
The plane was scheduled to land just after 7.30pm but was hit by windshear - a sudden change in wind speed or direction over a short distance - and was forced to pull out.	Das Flugzeug hätte kurz nach 19.30 Uhr landen sollen, wurde jedoch von einem Scherwind getroffen - einer plötzlichen Veränderung der Windgeschwindigkeit oder -richtung über eine kurze Entfernung - und musste durchstarten.
Wind gusts were reaching about 50km/h on the ground at Adelaide Airport at the time.	Windstöße erreichten zu diesem Zeitpunkt etwa 50 km/h am Boden auf dem Flughafen Adelaide.
Flight data showed the plane had to pull out of second landing and the plane eventually touched down about 8.40pm.	Die Flugdaten zeigten, dass das Flugzeug auch bei einem zweiten Landeanflug durchstarten musste und schließlich um etwa 20.40 Uhr aufsetzte.
That flight's delay caused the subsequent delay of a few other flights, including an Emirates flight from Dubai and a Qantas flight from Sydney.	Die Flugverzögerung führte in der Folge zur Verspätung einiger anderer Flüge, einschließlich eines Emirates-Flugs aus Dubai und eines Quantas-Flugs aus Sydney.
A top of 16C is forecast for Adelaide on Tuesday, with the chance of a shower or two.	Für Adelaide ist am Dienstag eine Höchsttemperatur von 16°C vorhergesagt, mit möglichen Schauern.
Matthies thinks: High time for the Internet Of Things	Matthies meint: Höchste Zeit zum großen Vernetzen
Faced with runaway advances in consumer technology, which threaten to turn our homes into high-tech control rooms, our reporter, Bernd Matthies, takes heart from one electronic gadget that he really feels at home with.	Angesichts des galoppierenden technischen Fortschritts, der unser behagliches Zuhause in High-Tech-Schaltzentralen zu verwandeln droht, tröstet sich unser Kolumnist Bernd Matthies mit einem überaus vertrauten elektronischen Zubehör.
As I write this, my eye catches the spiral cable, which connects the handset to the telephone, and I'm thinking: Wow! How retro is that then?	Während ich das hier schreibe, fällt mein Blick auf das Spiralkabel, das den Hörer mit dem Telefon verbindet, und ich denke: Boah, wie retro ist das denn?
But it started me thinking: If the cable was not there, all the handsets would be lying scattered around the house in no time at all - and that would be even more retro.	Aber dahinter steckt eine Überlegung: Wenn das Kabel nicht wäre, würden in kürzester Zeit sämtliche Hörer herrenlos im Haus herumfliegen, und das wäre noch bedeutend mehr retro.
In any case, in the elephantine (elephantine?	Ohnehin gilt ja auf dem ekeltronischen (ekeltronischen?
No - a typing error - electronics) sector, the basic rule is that the latest wonder of today is electronic rubbish tomorrow - once bought, it's out of date.	Nein, Tippfehler: elektronischen) Sektor die Regel, dass die Weltneuheit von heute der Elektroschrott von morgen ist, gekauft - veraltet.
And anyone, for example, who still has an old CRT TV in their living room, is merely announcing to the world that they're not interested in TVs!	Und wer zum Beispiel heute noch einen Röhrenfernseher im Wohnzimmer hat, der sagt damit lediglich, dass er Fernsehen grundsätzlich ablehnt.
