Biker reagiert blitzschnell und verhindert Schlimmeres	Biker reacts lightning fast and prevents worse.
Seit der Neuling aus der Nähe von Madrid trotz erster Corona-Fälle am 20. Juli zu einem Spiel in die Stadt A Coruña geflogen war, folgt ein Tiefschlag dem nächsten.	One heavy blow has followed the next since the newcomer from the area around Madrid flew to the city of A Coruña to a game on the 20th of July in spite of their first corna case.
Bis Sonntag waren 28 Spieler oder Teammitglieder positiv getestet worden, einer kam ins Krankenhaus, wie der Club mitteilte.	The club reported that 28 players tested positive for corna as of Sunday, one was taken to the hospital.
Fuenlabrada aus der gleichnamigen Stadt südlichwestlich von Madrid hatte bisher noch die Chance, die Aufstiegs-Playoffs zu erreichen.	Fuenlabrada from the titular city south-west of Madrid still had the chance to make the advancement playoffs.
Nun droht sogar der Abstieg in die B-Gruppe der Zweiten Liga.	Now a fallback to the B group of the second-league is a very real possibility.
Das Spiel gegen Deportivo La Coruña am vergangenen Montag wurde im letzten Augenblick abgesagt, die Staatsanwaltschaft ermittelt wegen einer möglichen Straftat gegen die öffentliche Gesundheit, die oberste Sportbehörde CSD erwägt den erzwungenen Abstieg des Clubs.	The game against Deportivo La Coruña on the previous Monday was cancelled in the last moments, the state prosecution was investigating a possible offense against public health, CSD, the highest sport authority, pondered a forced degrading of the club.
Die Spieler sowie andere Teammitglieder sitzen in einem Hotel in Quarantäne.	The players as well as all team members are sitting in a hotel in quarantine.
"Bis zum sechsten Tag der Quarantäne haben sie kein frisches Handtuch und kein Gel erhalten", schrieb die Sportzeitung "AS".	“Up to six days of quarantine and they have not received a fresh towel or any gel,” wrote the sports newspaper “AS”.
Auf Fotos sei zu sehen, wie Spieler Unterwäsche und Clubkleidung in ihren Zimmern im Hotel zum Trocknen aufgehängt hätten, nachdem sie die offenbar selbst waschen mussten.	Photos are seen of how the players are hanging underwear and club clothes in their rooms in the hotel to dry after they apparently had to wash them themselves.
Auch sei die Bettwäsche fünf Tage lang nicht gewechselt worden.	The bedding has also not been changed for five days.
Ein weiteres Problem sei das Essen.	Food is yet another problem.
Weder sei es gut noch ausreichend, schrieb "AS".	It is neither good nor enough, writes “AS”.
Die Clubleitung teilte hingegen mit, man sei zufrieden mit dem Hotel.	The club management on the other hand say they are happy with hotel management.
Den Vorwurf, die öffentliche Gesundheit vorsätzlich gefährdet zu haben, wies der Rechtsanwalt des Clubs, Javier Tebas Llanas, zurück.	The claim, that they intentionally harmed public health, is rejected by the club’s lawyer, Javier Tebas Llanas.
Man habe nicht gegen die vom Fußballverband aufgestellten Corona-Regeln verstoßen, betonte der Sohn des Präsidenten der spanischen Primera Division, Javier Tebas, wie die Nachrichtenagentur Europa Press und die Sportzeitung "Marca" berichteten.	No one breached corona regulations as laid out by the football association, said the son of the president of the Spanish Primera Division, Javier Tebas, as the news agency Europa Press and the sports newspaper “Marca” reported.
Vor dem Abflug habe es bis zum 19. Juli vier Infizierte gegeben, die aber alle isoliert gewesen und nicht mitgereist seien.	Before departure there had been four infections up to the 19th of July, all of them were isolated and did not travel along.
Direkt vor dem Flug am Montag nach A Coruña seien alle Spieler und Teammitglieder erneut getestet worden.	Right before the flight to A Coruña on Monday, all players and team members were tested again.
Als die Mannschaft schon in A Coruña war, seien dann bei "fünf oder sechs" weiteren Teammitgliedern der Corona-Test positiv gewesen.	As the team arrived in A Coruña, there were “five or six” further team members who had positive results from the corona test.
Das Spiel wurde 60 Minuten vor dem Anpfiff abgesagt, sagte Tebas Llanas.	The game was cancelled 60 minutes before the whistle blow, said Tebas Llanas.
Polizei muss bei Dampfach ausgerissene Pferde einfangen	The police must ring in runaway horses near Dampfach
Zwei Tiere waren auf der Straße unterwegs.	Two animals were making their way down the street.
Die Polizei führte sie zurück zu ihrem Besitzer.	The police were leading them back to their owners.
Am Sonntagmorgen kurz vor 6 Uhr teilte ein Verkehrsteilnehmer zwei freilaufende Pferde auf dem Zubringer zwischen der Einmündung Donnersdorf/Steinsfeld und der Autobahnanschlussstelle Theres mit.	Shortly before 6 on Sunday morning, a commuter reported two free-walking horses on the feeder road between the junction Donnersdorf/Steinsfeld and the autobahn junction Theres.
Bei Eintreffen der Beamten befanden sich die Pferde bereits wieder zwischen dem Zubringer und der Ortschaft Dampfach.	When the authorities arrived, the horses were again located between the feeder road and Dampfach village.
Nachdem kurz vor Dampfach durch die Beamten das Vertrauen der Pferde gewonnen werden konnte, ließen diese sich jeweils ein im Streifenwagen mitgeführtes Seil umlegen.	After the authorities were able to win the trust of the horses directly before reaching Dampfach, they both allowed themselves to be connected to a rope that was carried along in the patrol car
Radprofi Tony Martin: Karriere-Fortsetzung vorstellbar	Bike professional Tony Martin: Continuing carrier is possible
Zeitfahrspezialist Tony Martin denkt über eine Fortsetzung seiner Karriere nach.	The time trial specialist Tony Martin is thinking about continuing his carrier.
Frankfurt/Main - Der siebenmalige Zeitfahrweltmeister Tony Martin kann sich durchaus vorstellen, seine Radsport-Karriere fortzusetzen.	Frankfurt/Main - The seven-time time trial specialist Tony Martin can clearly picture continuing his bicycling carrier.
"Ich stecke gerade mit dem Team die Rahmenbedingungen ab, wie und in welcher Form es weitergehen könnte", sagte der 35-Jährige der "Frankfurter Allgemeinen Sonntagszeitung".	“I am getting the broad strokes of it straight with my team: how and in what form in can continue,” the 35 year-old told the “Frankfurter Allgemeinen Sonntagszeitung.”
Martin ist derzeit beim niederländischen Team Jumbo-Visma angestellt und hatte vor der Corona-Pause in Erwägung gezogen, seine Laufbahn nach diesem Jahr zu beenden.	Martin is now a member of the Dutch team Jumbo-Visma and he was considering ending his run at the end of this year before the start of the corna virus pandemic.
Bei den Verhandlungen mit seinem Team gehe es auch um die Anzahl der Renntage, sagte er.	The number of riding days is the subject being discussed by his team, he said.
Oder um andere Probleme, die ihn als Familienvater plagen würden, meinte Martin.	Or it’s about other problems bothering him as a father, he continued.
Früher sei er nach einem Sturz aufgestanden, und der erste Gedanke sei gewesen: "Schnell wieder zurück aufs Rad.	After a fall his first thought used to be: “Hurry get back up on the bicycle.
Heute denke ich als Vater einer kleinen Tochter: Was wäre, wenn".	Now I am thinking as a father of a small daughter: what would happen, if...”
Der Radprofi räumte ein, dass es durchaus Aspekte gebe, mit denen er sich zunehmend schwer tue.	The bicycling professional granted that there were many aspects, which have been hard on him.
"Aber es tat mir gut, anhand von der Corona-Zeit zu merken, was ich am Radsport habe und wie viel Spaß er mir macht".	“But it was good for me during this corna time to notice how much I have with bicycling and how much fun it was for me”.
Der Zeitfahrspezialist steigt bei der Tour de l'Ain (5. bis 9. August) wieder ins Wettkampf-Geschehen ein.	The time-travel specialist gets back into a competitive event with the Tour de l’Ain (5th to 9th of August).
Bayern: Mindestens vier Tote auf Bayerns Straßen am Wochenende	Bavaria: At least four dead on Bavaria’s streets this weekend
Das schöne Wetter lockt vielerorts Biker auf die Straßen.	The beautiful weather brought bikers to the streets in many places.
Für mindestens drei Menschen endet die Tour mit dem Motorrad tödlich.	The motorcycle tour ended in death for at least three people.
Auch ein 18 Jahre alter Fußgänger stirbt.	An 18 year-old pedestrian died as well.
Schönthal - Bei Unfällen auf Bayerns Straßen sind am Wochenende mehrere, zumeist junge Menschen gestorben.	Schönthal - Accidents on Bavaria’s streets this weekend lead to multiple, mostly young deaths.
Eine 18 Jahre alte Motorradfahrerin wurde am Samstag bei Schönthal (Landkreis Cham) von einem Auto erfasst, das auf die Gegenspur kam.	An 18 year-old motorcyclist was taken over by a car on Saturday by Schönthal (Cham County) that was coming from the opposite direction.
Warum der Wagen auf die Gegenspur geriet, war zunächst unklar.	The reason for the car veering into oncoming traffic is unclear.
In Oberbayern stieß am Samstag ein 22-Jähriger auf seiner Maschine mit einer Pferdekutsche zusammen.	In Upper Bavaria, a 22 year-old on his machine collided with a horse-and-carriage on Saturday.
Er war laut Polizei bei Beilngries bergab unterwegs.	According to police he was heading down the mountain near Beilngries.
In einer Linkskurve prallte er gegen die Kutsche.	He smashed into the carriage as the road curved to the left.
Seine Verletzungen waren so schwer, dass er am Unfallort starb.	His injuries were so severe that he died on the site of the accident.
Von den zwölf Insassen der Kutsche wurde ein Mann schwer und ein Mann leicht verletzt, wie die Polizei mitteilte.	According to police, one man was severely injured and another lightly injured of the twelve who were sitting in the carriage.
Bei einem weiteren tödlichen Unfall starb im oberpfälzischen Bad Kötzting ein 18-Jähriger.	An 18 year-old died following a further lethal accident in Bad Kötzting (Rhineland-Palatinate).
Er hatte sich in der Nacht zum Sonntag auf eine Straße gelegt und wurde von einem 42 Jahre alten Autofahrer überrollt.	On Sunday night he laid down on the street and was run over by a 42 year-old.
Nach Vermutung der Polizei wollte der 18-Jährige schlafen.	The police suspect that the 18 year-old had meant to sleep.
Der Autofahrer konnte nicht mehr rechtzeitig bremsen.	The driver of the vehicle could not stop in time.
Bei Schönberg (Landkreis Freyung-Grafenau) prallte am Samstag ein 57 Jahre alter Biker in einer Rechtskurve trotz Vollbremsung frontal gegen ein Auto.	A 57 year-old motorcyclist crashed head-on into a car in spite of reaching a full stop on a right curve in Schönberg (Freyung-Grafenau County).
