Dominic Raab: Government can't make apologies for Spain quarantine decision	Dominic Raab：政府不能为隔离西班牙的决定道歉
The Associated Press has accused White House press secretary Kayleigh McEnany of worrying the media by making her briefings political rather than informational -- apparently forgetting that reporters choose the questions.	美联社指责白宫新闻秘书 Kayleigh McEnany 使得新闻发布会的政治性多过新闻性，令媒体感到担忧，却显然忘记了是记者选择的这些问题。
An article Saturday by the AP, the largest US news agency, said White House press briefings may be a "broken tradition," as McEnany has made them "a streamlined, full-throated advertisement for a president facing re-election, a venue for attacks on the media and a forum relatively light on information" about what the government is doing.	美国最大的新闻机构美联社周六发表文章称，白宫新闻发布会可能“打破了传统”，因为 McEnany 将新闻发布会变成了“为争取总统连任进行简短高调的宣传和攻击媒体的场所”，而关于政府所作所为的“信息相对匮乏”。
The last of those assertions is indisputable, as hardly any new information is revealed at the briefings.	最后一个评价无可厚非，因为发布会上几乎没有披露任何新信息。
What the AP failed to mention is that hardly any new information is actually sought at the briefings.	美联社没有提到的是，几乎没有人在发布会上询问任何新消息。
Reporters frequently use White House pressers to draw attention to themselves, an art form perfected by CNN's Jim Acosta.	记者们经常利用白宫新闻官来让自己被注意到，CNN 的 Jim Acosta 将这一手段发挥到了极致。
They go beyond the typical adversarial media-administration relationship, repeating each other in asking gotcha questions aimed only at impugning President Donald Trump.	他们超越了媒体与政府之间常见的对抗关系，会互相重复地问一些有陷阱得问题，为的只是质疑 Donald Trump 总统。
In some cases, they make themselves the news, such as when CBS News reporter Weijia Jiang responded to an "ask China" retort from Trump by making a not-so-subtle hint at racism: "Sir, why are you saying that to me specifically?"	在某些场合，他们会让自己成为新闻，比方说，哥伦比亚广播公司新闻记者 Weijia Jiang 在回应 Trump 反驳的“去问中国”时就做出了不那么微妙的暗示：“先生，为什么您特别对我说这番话？”
A July 6 briefing offered a prime example of the disconnect over how the briefings have ceased to be a source of meaningful information for Americans.	7 月 6 日的发布会就是一个很好的例子，体现出它不再是美国民众获取有效信息的来源。
Trump tweeted that morning that NASCAR's television ratings had been hurt by a false allegation of a hate crime against driver Bubba Wallace and by its decision to ban display of the Confederate flag at its events.	当天早上，Trump 发推文称 NASCAR 收视率下降是因为对车手 Bubba Wallace 所谓的仇恨犯罪做了虚假报道并决定禁止在赛事中展示邦联旗帜。
Predictably, most of the questions were about the tweet as reporter after reporter asked McEnany questions designed to prompt her to say that Trump supports the Confederate flag.	跟预料的一样，记者们一个接一个地向 McEnany 提问与这条推文相关的问题，想让她亲口承认 Trump 支持邦联旗帜。
McEnany didn't provide the answer reporters wanted - a sound bite that would hurt Trump - but she repeatedly responded by saying the president wasn't taking a position on the Confederate flag and that the gist of his message was that NASCAR fans were wrongly being portrayed as being racist.	McEnany 并没有让记者得逞，那样说会有损 Trump 的利益，但她一再回应表示总统在邦联旗帜方面没有立场，他的推文主旨是 NASCAR 车迷被错误地描绘成了种族主义者。
The AP said she sounded "exasperated" during the briefing.	美联社称她在发布会的过程中听起来“恼羞成怒”。
The AP's story echoed a Washington Post op-ed column earlier this month by ABC News reporter Jonathan Karl, who also is president of the White House Correspondents Association.	美联社的故事与本月早些时候美国广播公司新闻记者 Jonathan Karl 发表于《华盛顿邮报》的专栏文章交相呼应，他也是白宫通讯员协会主席。
Karl argued, "denying reality and using the White House podium for purely political purposes is a violation of public trust."	Karl 说：“否认现实并且把白宫讲台用于纯粹的政治目的有违公众信任。”
Yet McEnany's quick wit and combative style have made her a hero of some Trump supporters, since she gave her first briefing on May 1 after taking over as press secretary in April.	McEnany 于四月接任新闻秘书，并在 5 月 1 日主持了她的首场发布会，她的机智和好斗作风让一部分 Trump 支持者将她视为英雄。
The pressers had been absent for more than a year before her appointment.	在她被任命之前，新闻官这个职位已经空缺了一年多。
Like other aspects of political life in Washington, the White House press secretary's relationship with the media has changed dramatically in the Trump era.	与华盛顿政治生活的其他方面一样，Trump 时代的白宫新闻秘书与媒体之间的关系也发生了巨大变化。
That change has come from both sides and predated McEnany's arrival.	这种变化来自双方，在 McEnany 到来之前就已经发生。
A roast of former press secretary Sarah Huckabee Sanders by comedian Michelle Wolf at the White House Correspondents" dinner in April 2018 was so vicious that even MSNBC host Mika Brzezinski called it "deplorable."	在 2018 年 4 月举行的白宫通讯员晚宴上，喜剧演员 Michelle Wolf 对前新闻秘书 Sarah Huckabee Sanders 发出了恶毒拷问，就连 MSNBC 主持人 Mika Brzezinski 也称之“令人震惊”。
AP White House reporter Jill Colvin greeted McEnany at her first briefing by asking, "Will you pledge never to lie to us from that podium?"	美联社白宫记者 Jill Colvin 在 McEnany 的首场发布会上问她：“你能否承诺绝不会在那个讲台上对我们撒谎？”
Fox News political analyst Brit Hume, a veteran of more than 50 years in journalism who had a 1989-1996 stint as ABC's chief White House correspondent, said reporters today display "aggressive behavior" in the briefing room because of their contempt for Trump.	福克斯新闻频道政治分析师 Brit Hume 是一位拥有 50 多年经验的资深新闻人士，曾在 1989 至 1996 年间担任美国广播公司（ABC）首席白宫通讯员，他说，现如今的记者在新闻发布会上表现出“攻击性行为”是因为他们看不起 Trump。
