ほのかが【田中みな実さん風ヘア】になる！	Honoka's New [Tanaka Minami hairstlye] Look!
岡山大付属特別支援学校（岡山市中区平井）高等部の生徒が、地域の高齢者らへプレゼントしようと、疫病を鎮めるとされる妖怪「アマビエ」の備前焼の置物を作っている。	High school students at the School of Special Needs Attached to Okayama University (Hirai, Naka ward, Okayama city) are making Bizen ware ornaments of Amabie, a spirit said to be able to quell epidemics, to give as gifts to elderly people in the community.
新型コロナウイルスの影響で、例年行う店舗での販売実習や地域住民との交流が難しい中、感染症の早期収束や健康を願い企画した。	The endeavour was planned in the hopes of bringing the pandemic to an early end and praying for health in an environment where the impact of COVID-19 precludes the in-person sales experience in stores and the interaction with local residents that would normally take place.
高等部の１１人が６月から週３日、午前中に授業の一環として制作。	Starting in June, 11 high school seniors made the figures three days a week as part of their morning classes.
力を込めてのばした粘土を型抜きで成形した後、備前焼特有の赤色模様の「緋襷（ひだすき ） 」 を出すためにわらを巻き付ける作業などを行う。	After putting effort into rolling out the clay and shaping it with cutters, they worked to wrap them in straw to bring out the distinctive "hidasuki" scarlet color of Bizen ware.
乾燥や焼成の工程も含め、２～３週間程度で完成するという。	The students said that it took about two or three weeks to complete, including the process of drying and firing.
３年生の生徒（１８）は「新型コロナに負けずお年寄りが元気に過ごしてもらえるようにとの思いを込め、一生懸命作っている」と話した。	"We worked really hard to make these and we filled them with our hope that the elderly will not give up hope in the face of COVID-19 and will continue to stay healthy and happy," explained a third-year student (18).
備前焼は２７日、合唱を披露するなど交流のある養護老人ホーム・岡山市友楽園（同所）の入所者に４０個届ける予定。	On the 27th, the students plan to deliver 40 of the Bizen ware figurines to the residents of Okayama Yurakuen (part of the same facility), a nursing home where they hold choral events and other interactions.
制作は７月末まで続ける予定で、残る作品の贈り先などは今後決めるという。	The students say they will continue making the Bizen ware Amabie figurines until the end of July, and then they will decide where to send the remaining ones.
一関市の千厩地区まちづくり協議会（村上敬一会長）は、同市千厩町の千厩市民センター駐車場を会場に、雨傘を空に飾る「アンブレラスカイせんまや」を初開催し、８月１日に特別展示イベントを行う。	On August 1st, the Senmaya District Urban Development Council (chairman: Murakami Keiichi) of Ichinoseki city will hold a special exhibition event in the parking lot of the Senmaya Municipal Community Center in the Senmaya part of the city: the first ever Umbrella Sky Senmaya, where the sky will be decorated with umbrellas.
新型コロナウイルス感染症の影響で夏祭りなどが中止になる中 、 「 地域の人たちが楽しめる催しを」と企画したもので、約１００本のカラフルな傘が千厩の夏空を彩る。	While summer festivals and other events are being cancelled due to the impact of the COVID-19 virus, this event was planned to bring joy to the people of the area, with about 100 colorful umbrellas painting the summer sky of Senmaya.
同日のイベントでは地域住民らから提供された色とりどりの傘を飾り、地元の児童がビニール部分に絵などを描いた傘も並べる。	On the day, the event will display decorations of colorful umbrellas donated by local residents, and some of the arranged umbrellas will feature illustrations done by local children on the clear plastic canopies.
プロのカメラマンによる浴衣撮影会を行うほか、キッチンカーも出店する。	Food trucks will be set up, and a professional photographer for yukata photo sessions in will also be in attendance.
午前１０時～午後４時。	The event will take place from 10am to 4pm.
１日の浴衣撮影会は午前１０時～正午。	The yukata photo sessions will take place on the 1st from 10am until midday.
希望者は千厩街道着物まちあるき実行委員会の菅原利和会長（０９０・８８５９・５９２８）に申し込む。	Those interested should apply to Sugawara Toshikazu (090-8859-5928), chairman of the Senmaya Kaido Kimono City Walks Executive Committee.
明石商・中森が３回０安打０封７Ｋ！	Akashi Shogyou HS • Nakamori gets his third no hitter! 7Ks!
虎もＧも大絶賛、阪神・和田ＴＡ「やはりトップクラス 」 （ サンケイスポーツ ） - Yahoo!ニュース	Tigers and Giants both highly praise Hanshin • Wada TA is "a sure top class player" (Sankei Sports) --Yahoo! News
高校野球兵庫独自大会は２４日、昨春夏甲子園４強の強豪・明石商が高砂との初戦（２回戦、高砂市野球場）に臨み、１１－０で５回コールド発進した。	The exclusive Hyogo high school baseball tournament was held on the 24th, with the first game being Akashi Shougyo HS (top four in the last spring/summer Koshien tournament), a strong team playing against Takasago (2nd round, Takasago Municipal Baseball Stadium) and wins a called game in the 5th inning, 11-0.
ドラフト上位候補の１５１キロ右腕・中森俊介投手（３年）が３回無安打７奪三振と貫禄のピッチングを披露。	151 km right-handed pitcher, Nakamori Shunsuke (senior), who is a top draft pick, showed off with a no-hitter, seven strikeouts and excellent pitching in the 3rd inning.
視察した阪神・和田豊球団本部付テクニカルアドバイザー（５７）も絶賛した。	Wada Yutaka (57), technical advisor for Hanshin baseball team's headquarters, highly praised him.
降り続く雨のため整備などで開始が３９分遅れた。	The start was delayed by 39 minutes due to the continuous rain and field maintenance.
ぬかるんだマウンド。	A muddy mound.
それでも、待ち望んだ今年初公式戦とあって気合が入った。	Even so, the long-awaited first official game of the year caused enthusiasm.
